effect,bri,watt
Downpour,125,3.12
Downpour,135,3.17
Downpour,145,3.1
Downpour,155,3.15
Downpour,165,3.12
Downpour,175,3.23
Downpour,185,3.1
Downpour,195,3.27
Downpour,205,3.25
Downpour,215,3.12
Downpour,225,3.2
Downpour,235,3.05
Downpour,245,3.12
Downpour,255,3.12
Dreamland,5,3.25
Dreamland,15,3.08
Dreamland,25,3.23
Dreamland,35,3.12
Dreamland,45,3.23
Dreamland,55,3.1
Dreamland,65,3.25
Dreamland,75,3.22
Dreamland,85,3.15
Dreamland,95,3.2
Dreamland,105,3.2
Dreamland,115,3.2
Dreamland,125,3.15
Dreamland,135,3.17
Dreamland,145,3.12
Dreamland,155,3.1
Dreamland,165,3.12
Dreamland,175,3.12
Dreamland,185,3.23
Dreamland,195,3.12
Dreamland,205,3.17
Dreamland,215,3.17
Dreamland,225,3.15
Dreamland,235,3.27
Dreamland,245,3.12
Dreamland,255,3.27
Dreamlike,5,3.25
Dreamlike,15,3.15
Dreamlike,25,3.15
Dreamlike,35,3.25
Dreamlike,45,3.15
Dreamlike,55,3.15
Dreamlike,65,3.17
Dreamlike,75,3.12
Dreamlike,85,3.23
Dreamlike,95,3.17
Dreamlike,105,3.17
Dreamlike,115,3.2
Dreamlike,125,3.17
Dreamlike,135,3.23
Dreamlike,145,3.17
Dreamlike,155,3.27
Dreamlike,165,3.17
Dreamlike,175,3.23
Dreamlike,185,3.12
Dreamlike,195,3.2
Dreamlike,205,3.17
Dreamlike,215,3.12
Dreamlike,225,3.15
Dreamlike,235,3.15
Dreamlike,245,3.12
Dreamlike,255,3.15
energetic,5,3.82
energetic,15,4.75
energetic,25,5.6
energetic,35,6.25
energetic,45,7.12
energetic,55,8.05
energetic,65,8.88
energetic,75,9.45
energetic,85,10.25
energetic,95,10.93
energetic,105,11.72
energetic,115,12.35
energetic,125,13.25
energetic,135,13.88
energetic,145,14.68
energetic,155,15.25
energetic,165,16.15
energetic,175,16.75
energetic,185,17.4
energetic,195,18.32
energetic,205,19.18
energetic,215,19.9
energetic,225,20.52
energetic,235,21.4
energetic,245,22.35
energetic,255,23.12
Energetic,5,3.17
Energetic,15,3.17
Energetic,25,3.12
Energetic,35,3.05
Energetic,45,3.1
Energetic,55,3
Energetic,65,3.02
Energetic,75,2.98
Energetic,85,3.08
Energetic,95,2.85
Energetic,105,3
Energetic,115,2.88
Energetic,125,2.9
Energetic,135,2.8
Energetic,145,2.77
Energetic,155,2.9
Energetic,165,2.75
Energetic,175,2.75
Energetic,185,2.68
Energetic,195,2.7
Energetic,205,2.75
Energetic,215,2.7
Energetic,225,2.7
Energetic,235,2.65
Energetic,245,2.62
Energetic,255,2.73
Fall,5,2.7
Fall,15,2.65
Fall,25,2.67
Fall,35,2.7
Fall,45,2.55
Fall,55,2.67
Fall,65,2.58
Fall,75,2.6
Fall,85,2.6
Fall,95,2.52
Fall,105,2.58
Fall,115,2.58
Fall,125,2.65
Fall,135,2.65
Fall,145,2.58
Fall,155,2.68
Fall,165,2.55
Fall,175,2.67
Fall,185,2.7
Fall,195,2.55
Fall,205,2.65
